@RELATION caltech101

@ATTRIBUTE	word0	NUMERIC
@ATTRIBUTE	word1	NUMERIC
@ATTRIBUTE	word2	NUMERIC
@ATTRIBUTE	word3	NUMERIC
@ATTRIBUTE	word4	NUMERIC
@ATTRIBUTE	word5	NUMERIC
@ATTRIBUTE	word6	NUMERIC
@ATTRIBUTE	word7	NUMERIC
@ATTRIBUTE	word8	NUMERIC
@ATTRIBUTE	word9	NUMERIC
@ATTRIBUTE	word10	NUMERIC
@ATTRIBUTE	word11	NUMERIC
@ATTRIBUTE	word12	NUMERIC
@ATTRIBUTE	word13	NUMERIC
@ATTRIBUTE	word14	NUMERIC
@ATTRIBUTE	word15	NUMERIC
@ATTRIBUTE	word16	NUMERIC
@ATTRIBUTE	word17	NUMERIC
@ATTRIBUTE	word18	NUMERIC
@ATTRIBUTE	word19	NUMERIC
@ATTRIBUTE	word20	NUMERIC
@ATTRIBUTE	word21	NUMERIC
@ATTRIBUTE	word22	NUMERIC
@ATTRIBUTE	word23	NUMERIC
@ATTRIBUTE	word24	NUMERIC
@ATTRIBUTE	word25	NUMERIC
@ATTRIBUTE	word26	NUMERIC
@ATTRIBUTE	word27	NUMERIC
@ATTRIBUTE	word28	NUMERIC
@ATTRIBUTE	word29	NUMERIC
@ATTRIBUTE	word30	NUMERIC
@ATTRIBUTE	word31	NUMERIC
@ATTRIBUTE	word32	NUMERIC
@ATTRIBUTE	word33	NUMERIC
@ATTRIBUTE	word34	NUMERIC
@ATTRIBUTE	word35	NUMERIC
@ATTRIBUTE	word36	NUMERIC
@ATTRIBUTE	word37	NUMERIC
@ATTRIBUTE	word38	NUMERIC
@ATTRIBUTE	word39	NUMERIC
@ATTRIBUTE	word40	NUMERIC
@ATTRIBUTE	word41	NUMERIC
@ATTRIBUTE	word42	NUMERIC
@ATTRIBUTE	word43	NUMERIC
@ATTRIBUTE	word44	NUMERIC
@ATTRIBUTE	word45	NUMERIC
@ATTRIBUTE	word46	NUMERIC
@ATTRIBUTE	word47	NUMERIC
@ATTRIBUTE	word48	NUMERIC
@ATTRIBUTE	word49	NUMERIC
@ATTRIBUTE	class	{strawberry,lobster,brain,platypus,Faces,nautilus,pigeon,grand_piano,chair,pizza}

@DATA
0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0.125,0,0,0.25,0,0,0,0,0,0,0,0.125,0.125,0,0,0,0,0,strawberry
0,0,0.00847458,0,0,0,0.0423729,0,0.00847458,0,0,0.0423729,0,0.00847458,0,0,0.0338983,0.00847458,0,0.0677966,0,0,0.0932203,0.0169492,0.0254237,0.00847458,0,0,0.0762712,0,0,0.194915,0,0,0,0,0.0677966,0,0,0,0.0932203,0.00847458,0.177966,0,0.00847458,0,0,0,0,0.00847458,strawberry
0.00390625,0.0351562,0.0273438,0.046875,0.0507812,0.03125,0,0.0195312,0,0.0195312,0.0117188,0.0195312,0.0585938,0.0273438,0,0.0117188,0,0.046875,0.015625,0.0078125,0.015625,0,0,0,0.00390625,0.00390625,0.0273438,0.00390625,0,0.0390625,0.0429688,0.015625,0.00390625,0.0585938,0,0.0078125,0,0,0.0117188,0.0078125,0,0.0078125,0,0.0390625,0,0.0546875,0.0273438,0.046875,0.0429688,0.105469,strawberry
0,0.036036,0.00900901,0.036036,0.027027,0,0,0.00900901,0,0.0720721,0.027027,0.036036,0.0720721,0,0,0.00900901,0,0.0540541,0.0540541,0,0.0540541,0,0.00900901,0,0.027027,0.027027,0,0.00900901,0,0.00900901,0.036036,0,0,0.00900901,0.036036,0.144144,0,0,0.018018,0.036036,0.00900901,0.018018,0,0.027027,0.018018,0.00900901,0.027027,0.00900901,0.027027,0,strawberry
0.0394737,0.0526316,0.0921053,0.223684,0,0.0131579,0,0,0.0131579,0.0131579,0,0,0.0526316,0,0,0,0,0.0263158,0,0,0.0394737,0,0,0,0.0131579,0,0,0.0131579,0,0,0,0,0,0.0394737,0,0.0921053,0,0,0.0526316,0.0263158,0,0,0,0.0131579,0,0,0.0131579,0,0.171053,0,strawberry
0.0192308,0.0192308,0.0192308,0.0576923,0,0,0,0,0,0,0,0.0384615,0,0.0769231,0.0192308,0,0,0.0192308,0.0192308,0,0,0,0,0,0.0576923,0.0192308,0,0.0192308,0,0,0,0.153846,0,0.0384615,0,0,0.0192308,0,0.0192308,0.0192308,0.153846,0.0384615,0.0576923,0.0576923,0.0192308,0.0192308,0,0,0,0.0192308,strawberry
0,0,0.0150754,0,0.0150754,0.00502513,0.0502513,0.0251256,0.0301508,0.0301508,0.0251256,0.0201005,0,0.0351759,0.0201005,0,0.00502513,0.0251256,0.0201005,0.0201005,0.00502513,0,0.0201005,0.0653266,0.0100503,0.0452261,0,0,0.0301508,0.040201,0.0100503,0.0854271,0,0,0.00502513,0,0.0452261,0,0,0.00502513,0.0854271,0.0351759,0.120603,0,0.0201005,0.0150754,0,0.00502513,0,0.0100503,strawberry
0,0,0.130435,0.108696,0,0.0217391,0,0,0,0.0434783,0,0,0.0434783,0.0217391,0,0.0434783,0,0,0.0217391,0,0,0.0217391,0.0869565,0,0,0,0.0217391,0.0434783,0,0,0.0217391,0,0,0.0434783,0,0.108696,0,0.0434783,0,0.0217391,0,0,0,0.0217391,0.0217391,0,0.0434783,0.0217391,0.0217391,0.0217391,strawberry
0.00632911,0,0,0,0.00632911,0,0.0126582,0.0379747,0,0,0,0.0189873,0.00632911,0.0189873,0.0822785,0.00632911,0,0.0632911,0.0189873,0.0379747,0,0.0126582,0.00632911,0,0.0696203,0.0189873,0,0.0253165,0,0,0.0126582,0.132911,0.0126582,0,0.0316456,0,0,0.0126582,0.00632911,0,0.253165,0,0,0.00632911,0.0696203,0.00632911,0,0,0,0.00632911,strawberry
0,0.0333333,0.15,0.0833333,0.025,0.00833333,0.00833333,0.00833333,0.108333,0.0333333,0,0.0166667,0.05,0,0,0,0.00833333,0.1,0.00833333,0.0416667,0,0,0.00833333,0,0.0166667,0,0,0,0.00833333,0,0,0,0,0.0333333,0,0,0,0,0.0333333,0,0.0333333,0,0,0.0666667,0.00833333,0.025,0.05,0,0.0333333,0,strawberry
