@RELATION caltech101

@ATTRIBUTE	word0	NUMERIC
@ATTRIBUTE	word1	NUMERIC
@ATTRIBUTE	word2	NUMERIC
@ATTRIBUTE	word3	NUMERIC
@ATTRIBUTE	word4	NUMERIC
@ATTRIBUTE	word5	NUMERIC
@ATTRIBUTE	word6	NUMERIC
@ATTRIBUTE	word7	NUMERIC
@ATTRIBUTE	word8	NUMERIC
@ATTRIBUTE	word9	NUMERIC
@ATTRIBUTE	word10	NUMERIC
@ATTRIBUTE	word11	NUMERIC
@ATTRIBUTE	word12	NUMERIC
@ATTRIBUTE	word13	NUMERIC
@ATTRIBUTE	word14	NUMERIC
@ATTRIBUTE	word15	NUMERIC
@ATTRIBUTE	word16	NUMERIC
@ATTRIBUTE	word17	NUMERIC
@ATTRIBUTE	word18	NUMERIC
@ATTRIBUTE	word19	NUMERIC
@ATTRIBUTE	word20	NUMERIC
@ATTRIBUTE	word21	NUMERIC
@ATTRIBUTE	word22	NUMERIC
@ATTRIBUTE	word23	NUMERIC
@ATTRIBUTE	word24	NUMERIC
@ATTRIBUTE	word25	NUMERIC
@ATTRIBUTE	word26	NUMERIC
@ATTRIBUTE	word27	NUMERIC
@ATTRIBUTE	word28	NUMERIC
@ATTRIBUTE	word29	NUMERIC
@ATTRIBUTE	word30	NUMERIC
@ATTRIBUTE	word31	NUMERIC
@ATTRIBUTE	word32	NUMERIC
@ATTRIBUTE	word33	NUMERIC
@ATTRIBUTE	word34	NUMERIC
@ATTRIBUTE	word35	NUMERIC
@ATTRIBUTE	word36	NUMERIC
@ATTRIBUTE	word37	NUMERIC
@ATTRIBUTE	word38	NUMERIC
@ATTRIBUTE	word39	NUMERIC
@ATTRIBUTE	word40	NUMERIC
@ATTRIBUTE	word41	NUMERIC
@ATTRIBUTE	word42	NUMERIC
@ATTRIBUTE	word43	NUMERIC
@ATTRIBUTE	word44	NUMERIC
@ATTRIBUTE	word45	NUMERIC
@ATTRIBUTE	word46	NUMERIC
@ATTRIBUTE	word47	NUMERIC
@ATTRIBUTE	word48	NUMERIC
@ATTRIBUTE	word49	NUMERIC
@ATTRIBUTE	class	{strawberry,lobster,brain,platypus,Faces,nautilus,pigeon,grand_piano,chair,pizza}

@DATA
0,0,0.0387597,0.00775194,0,0,0.00775194,0,0.0155039,0,0,0,0.0310078,0.0310078,0,0,0,0.0620155,0,0,0,0,0,0,0.00775194,0,0.0697674,0.0542636,0,0,0,0,0.0542636,0.0465116,0.0387597,0.0697674,0.0620155,0,0.116279,0,0,0.0852713,0,0,0.0310078,0,0.116279,0,0.0542636,0,strawberry
0,0.086747,0,0.0120482,0.00240964,0.0216867,0.026506,0,0,0,0,0.0626506,0,0,0.0722892,0.0240964,0.00481928,0,0.00240964,0,0.0120482,0.313253,0.0433735,0,0,0.086747,0,0,0.0771084,0,0,0.0626506,0,0,0,0,0,0.0216867,0,0,0,0,0,0,0.00240964,0,0,0.0650602,0,0,strawberry
0.00465116,0,0.0418605,0,0.00232558,0,0,0,0.0395349,0.0511628,0.0651163,0,0.0209302,0.0255814,0,0,0,0.0348837,0,0.00232558,0.0162791,0,0,0,0.027907,0,0.00697674,0.0395349,0,0.00232558,0,0,0.00697674,0.0255814,0.0581395,0.0162791,0.0302326,0,0.027907,0.0302326,0.00232558,0.0534884,0.146512,0,0.0116279,0.109302,0.044186,0,0.0465116,0.00930233,strawberry
0.0261283,0,0.0427553,0,0,0,0,0.0356295,0.0308789,0.00712589,0.0308789,0,0.023753,0.00712589,0,0,0.0023753,0.0356295,0.00950119,0,0.0023753,0,0.00712589,0,0.04038,0.00475059,0.0451306,0.00712589,0.00712589,0.0332542,0.0190024,0,0.0522565,0.0451306,0.00475059,0.0285036,0.0736342,0,0.023753,0.0356295,0.0023753,0.0261283,0.0427553,0.0451306,0.0308789,0.0997625,0.0261283,0.00712589,0.023753,0.0142518,strawberry
0.00275482,0,0.0165289,0,0.00550964,0,0,0.0358127,0.22314,0.15427,0.0358127,0,0.030303,0.0165289,0,0,0,0.0192837,0,0,0,0,0.0137741,0.0220386,0,0,0.0137741,0.046832,0,0,0,0,0,0.0220386,0.0137741,0.00826446,0.0881543,0,0.0220386,0.0165289,0,0.00826446,0,0.00826446,0.0165289,0.0798898,0.046832,0,0.0330579,0,strawberry
0.00348432,0,0.0418118,0.00696864,0.00696864,0,0.0313589,0.00696864,0.0209059,0.0801394,0,0,0.0522648,0.0278746,0,0,0.00348432,0,0,0.0278746,0.0801394,0,0.0418118,0.00348432,0.0278746,0,0.0383275,0.00696864,0.00348432,0.0313589,0.0139373,0.097561,0.0243902,0,0.0452962,0.010453,0.00348432,0,0.010453,0.010453,0.00348432,0.0243902,0.0348432,0.010453,0.0313589,0.0836237,0.010453,0,0.010453,0.0313589,strawberry
0,0.162413,0,0.0185615,0,0,0.00928074,0,0,0,0,0.106729,0,0.00232019,0.155452,0,0.0510441,0,0,0,0.0324826,0.037123,0.0116009,0,0,0.0765661,0,0,0.0812065,0.00696056,0,0.12065,0,0,0,0,0,0.0464037,0,0,0,0,0.00928074,0,0,0,0,0.0556845,0,0.0162413,strawberry
0,0,0.0294985,0,0.00884956,0,0,0,0.212389,0.0560472,0.0471976,0,0.058997,0,0,0,0,0.0058997,0,0,0,0,0,0.00884956,0.00294985,0,0.0501475,0.0353982,0,0,0.00294985,0,0.0117994,0.0383481,0.0176991,0.0235988,0.103245,0,0.0707965,0.0058997,0.0117994,0.058997,0.020649,0,0.00884956,0.0560472,0.0294985,0,0.020649,0.00294985,strawberry
0.00806452,0,0.0134409,0.0913979,0,0,0.0725806,0,0,0,0.00537634,0,0.0430108,0.0456989,0,0,0,0.0215054,0,0.00537634,0.0725806,0,0.0994624,0,0,0,0.0107527,0.0860215,0,0.00537634,0.00806452,0.112903,0,0,0.0483871,0.00268817,0.0134409,0,0.0349462,0,0.00806452,0.0295699,0.00268817,0.0107527,0.0806452,0,0.00537634,0,0.0564516,0.00537634,strawberry
0.014881,0,0.0505952,0,0.00892857,0,0,0,0.130952,0.125,0.0833333,0,0,0.00297619,0,0,0,0.0267857,0,0.00595238,0,0,0,0,0.014881,0,0.014881,0.0178571,0,0.00297619,0.00892857,0,0.0208333,0.0208333,0.00892857,0.0208333,0.0982143,0,0.00892857,0.00297619,0.014881,0.0119048,0.00892857,0,0,0.214286,0.0267857,0,0.0267857,0.00595238,strawberry
