@RELATION caltech101

@ATTRIBUTE	word0	NUMERIC
@ATTRIBUTE	word1	NUMERIC
@ATTRIBUTE	word2	NUMERIC
@ATTRIBUTE	word3	NUMERIC
@ATTRIBUTE	word4	NUMERIC
@ATTRIBUTE	word5	NUMERIC
@ATTRIBUTE	word6	NUMERIC
@ATTRIBUTE	word7	NUMERIC
@ATTRIBUTE	word8	NUMERIC
@ATTRIBUTE	word9	NUMERIC
@ATTRIBUTE	word10	NUMERIC
@ATTRIBUTE	word11	NUMERIC
@ATTRIBUTE	word12	NUMERIC
@ATTRIBUTE	word13	NUMERIC
@ATTRIBUTE	word14	NUMERIC
@ATTRIBUTE	word15	NUMERIC
@ATTRIBUTE	word16	NUMERIC
@ATTRIBUTE	word17	NUMERIC
@ATTRIBUTE	word18	NUMERIC
@ATTRIBUTE	word19	NUMERIC
@ATTRIBUTE	word20	NUMERIC
@ATTRIBUTE	word21	NUMERIC
@ATTRIBUTE	word22	NUMERIC
@ATTRIBUTE	word23	NUMERIC
@ATTRIBUTE	word24	NUMERIC
@ATTRIBUTE	word25	NUMERIC
@ATTRIBUTE	word26	NUMERIC
@ATTRIBUTE	word27	NUMERIC
@ATTRIBUTE	word28	NUMERIC
@ATTRIBUTE	word29	NUMERIC
@ATTRIBUTE	word30	NUMERIC
@ATTRIBUTE	word31	NUMERIC
@ATTRIBUTE	word32	NUMERIC
@ATTRIBUTE	word33	NUMERIC
@ATTRIBUTE	word34	NUMERIC
@ATTRIBUTE	word35	NUMERIC
@ATTRIBUTE	word36	NUMERIC
@ATTRIBUTE	word37	NUMERIC
@ATTRIBUTE	word38	NUMERIC
@ATTRIBUTE	word39	NUMERIC
@ATTRIBUTE	word40	NUMERIC
@ATTRIBUTE	word41	NUMERIC
@ATTRIBUTE	word42	NUMERIC
@ATTRIBUTE	word43	NUMERIC
@ATTRIBUTE	word44	NUMERIC
@ATTRIBUTE	word45	NUMERIC
@ATTRIBUTE	word46	NUMERIC
@ATTRIBUTE	word47	NUMERIC
@ATTRIBUTE	word48	NUMERIC
@ATTRIBUTE	word49	NUMERIC
@ATTRIBUTE	class	{strawberry,lobster,brain,platypus,Faces,nautilus,pigeon,grand_piano,chair,pizza}

@DATA
0,0,0,0,0,0.0102041,0,0,0,0,0.0714286,0.0204082,0,0,0.0102041,0.0102041,0.0408163,0,0,0.0408163,0,0.0816327,0.0102041,0,0,0.0306122,0.0102041,0.0204082,0.0612245,0,0,0.204082,0,0.0408163,0,0,0.0306122,0,0.0714286,0,0,0.0510204,0,0,0,0.0204082,0,0.0510204,0.0408163,0.0714286,strawberry
0,0.00390625,0,0.0625,0,0.015625,0.0507812,0,0,0.0117188,0,0,0,0.0195312,0,0,0,0,0,0.0351562,0.0742188,0,0.00390625,0.0625,0.0976562,0,0.0664062,0,0.00390625,0.261719,0.0546875,0,0,0,0,0.0742188,0,0,0.0195312,0,0,0,0,0.00390625,0.078125,0,0,0,0,0,strawberry
0.00176991,0.00530973,0.0230088,0,0.155752,0.0123894,0,0.0230088,0.0212389,0.00176991,0.0106195,0.00530973,0.00884956,0,0.00353982,0.0300885,0.0230088,0.0495575,0.00884956,0,0.0141593,0.0300885,0.0176991,0,0,0.0123894,0.00176991,0.0442478,0.0141593,0,0,0.019469,0.0283186,0.0460177,0.00353982,0.00530973,0.0477876,0.0176991,0.0141593,0,0.00176991,0.019469,0.0230088,0.0336283,0,0.0318584,0.0106195,0.0566372,0.0548673,0.0672566,strawberry
0.012987,0.012987,0.0311688,0.0025974,0,0.00779221,0.0207792,0,0.00519481,0.0285714,0.0441558,0.0285714,0.0155844,0.0103896,0.0285714,0,0.0207792,0.0363636,0,0.012987,0.00779221,0.0363636,0.0103896,0.0025974,0,0.00779221,0.00519481,0.012987,0.0155844,0,0,0.0519481,0.135065,0.0207792,0.0337662,0.0155844,0.0285714,0.00779221,0.012987,0.012987,0.00519481,0.0103896,0.0493506,0,0.0207792,0.0649351,0.0467532,0.012987,0.00779221,0.0441558,strawberry
0,0.016,0.016,0,0,0.016,0.004,0,0.02,0.124,0,0,0.008,0,0.004,0.02,0.008,0.012,0,0,0.012,0.004,0.016,0,0,0,0.004,0.04,0.016,0,0,0.076,0,0.036,0,0.008,0.028,0,0.016,0.052,0,0.008,0.028,0,0,0.072,0,0.268,0.02,0.048,strawberry
0,0,0.0130719,0.0130719,0.0196078,0.0392157,0.0261438,0.0130719,0.0326797,0,0.00653595,0.0196078,0,0,0,0,0.0392157,0,0,0.0196078,0.0392157,0.0196078,0,0,0.0130719,0.00653595,0.00653595,0.0130719,0,0.0392157,0.0588235,0.0457516,0,0,0,0.0261438,0.00653595,0,0,0.104575,0,0,0,0.0130719,0.00653595,0.0130719,0.00653595,0.326797,0,0.0130719,strawberry
0.00214592,0,0,0.0643777,0,0.0343348,0.0321888,0,0,0.0364807,0,0.00643777,0,0.17382,0.00643777,0,0.00429185,0.0300429,0,0.0236051,0.0128755,0,0.00643777,0.0901288,0.0493562,0.00643777,0,0,0.00429185,0.197425,0.0429185,0,0,0.00214592,0.00214592,0.0257511,0.00429185,0,0.00214592,0.0493562,0.00214592,0,0.0107296,0.0257511,0.0450644,0,0.00643777,0,0,0,strawberry
0.0185185,0.0462963,0.00925926,0.00462963,0.037037,0,0,0,0.037037,0.00462963,0.0509259,0,0.00925926,0,0,0.0231481,0,0.0324074,0.0138889,0.00462963,0,0.037037,0,0.00462963,0,0.00462963,0,0.00462963,0.0324074,0,0,0.0601852,0.00462963,0.00925926,0,0.0138889,0.0231481,0,0.037037,0.0277778,0.0462963,0.00925926,0,0.0138889,0,0.037037,0.0231481,0.259259,0.0138889,0.0462963,strawberry
0,0,0,0,0,0.0459016,0.0459016,0,0,0,0.0688525,0.0459016,0,0,0.00655738,0.00327869,0,0.0131148,0,0.0655738,0.104918,0.00983607,0.0262295,0,0,0.0721311,0.0786885,0,0.0131148,0.0196721,0.134426,0.0491803,0,0.0229508,0,0.0721311,0.0131148,0,0.0491803,0,0,0.0196721,0.00327869,0.00983607,0,0.00327869,0,0,0,0.00327869,strawberry
0.008,0.008,0.002,0,0,0,0,0.002,0.094,0,0.002,0,0,0.008,0.01,0,0,0.022,0,0,0,0.014,0.014,0,0,0,0.014,0.084,0.002,0,0,0.01,0,0.01,0,0,0.034,0,0,0.244,0.014,0.014,0,0.008,0,0.034,0.022,0.196,0.048,0.082,strawberry
0.0491071,0.0580357,0.00892857,0.0178571,0,0.00446429,0.0491071,0,0,0.0491071,0.00446429,0,0.00446429,0.227679,0.00446429,0,0.00446429,0,0.00446429,0.0178571,0.0178571,0.00892857,0,0.0446429,0.0267857,0.00892857,0,0,0,0.111607,0.0178571,0,0,0.00446429,0.0133929,0.0803571,0.0133929,0,0.00892857,0.0446429,0,0,0.0446429,0,0.03125,0.0133929,0.00446429,0,0,0,strawberry
0.00595238,0.0396825,0,0.0753968,0,0.00793651,0.0535714,0,0.00198413,0.015873,0.0119048,0.0119048,0.00198413,0.0357143,0.00198413,0,0.00198413,0.015873,0,0.0238095,0.0813492,0.00396825,0.00793651,0.0853175,0.0218254,0.0218254,0.0753968,0.0138889,0.00198413,0.077381,0.130952,0.00198413,0,0.00396825,0.00198413,0.0555556,0.00992064,0,0.00396825,0.00198413,0,0.00595238,0.00595238,0.00595238,0.0357143,0.00992064,0.00396825,0,0.00595238,0.0198413,strawberry
0.0164474,0.0296053,0,0,0,0,0,0,0.0723684,0,0,0,0,0,0.0131579,0,0,0.0592105,0,0,0.00328947,0.0164474,0.0361842,0,0,0,0.0296053,0.121711,0,0,0.0131579,0.00986842,0,0.0394737,0,0,0.0592105,0,0.0131579,0.0789474,0,0,0,0.00657895,0.00328947,0.0723684,0,0.138158,0.0460526,0.121711,strawberry
0.00882353,0,0,0.000980392,0,0.0186275,0.0127451,0.00490196,0,0,0.00882353,0.0568627,0.00392157,0,0.0333333,0.000980392,0.00490196,0.00980392,0.0186275,0.0558824,0.0676471,0.00490196,0.0509804,0,0,0.0862745,0.219608,0.00392157,0.00882353,0.00686275,0.0852941,0.00980392,0,0.0392157,0.00196078,0.0362745,0.0107843,0,0.00980392,0,0.0235294,0.00686275,0,0.0656863,0.00490196,0.00882353,0.000980392,0,0.00784314,0,strawberry
0,0.00236407,0,0,0,0,0,0,0.0212766,0.00236407,0.00945626,0,0.0070922,0,0.0141844,0.0118203,0.0472813,0.101655,0,0.00472813,0.0141844,0.0449173,0.0165485,0,0,0.00945626,0,0.118203,0.0070922,0,0,0.0756501,0,0.0425532,0,0,0.0921986,0,0.0070922,0.00236407,0,0.0307329,0.00236407,0.0401891,0,0.0638298,0.00236407,0.070922,0.035461,0.101655,strawberry
0.0031348,0.0250784,0,0.00626959,0,0,0.015674,0.0031348,0.0815047,0.0250784,0.015674,0.0031348,0,0,0.031348,0.00626959,0.0125392,0.015674,0.0031348,0.00626959,0.0188088,0.0188088,0.0125392,0.0031348,0,0.0250784,0.0626959,0.0752351,0.031348,0,0.0532915,0.00940439,0.00626959,0.0125392,0,0.00626959,0.0250784,0,0.0125392,0.0564263,0,0.0282132,0,0,0.0031348,0.0721003,0.00940439,0.134796,0.0188088,0.0501567,strawberry
