@RELATION caltech101

@ATTRIBUTE	word0	NUMERIC
@ATTRIBUTE	word1	NUMERIC
@ATTRIBUTE	word2	NUMERIC
@ATTRIBUTE	word3	NUMERIC
@ATTRIBUTE	word4	NUMERIC
@ATTRIBUTE	word5	NUMERIC
@ATTRIBUTE	word6	NUMERIC
@ATTRIBUTE	word7	NUMERIC
@ATTRIBUTE	word8	NUMERIC
@ATTRIBUTE	word9	NUMERIC
@ATTRIBUTE	word10	NUMERIC
@ATTRIBUTE	word11	NUMERIC
@ATTRIBUTE	word12	NUMERIC
@ATTRIBUTE	word13	NUMERIC
@ATTRIBUTE	word14	NUMERIC
@ATTRIBUTE	word15	NUMERIC
@ATTRIBUTE	word16	NUMERIC
@ATTRIBUTE	word17	NUMERIC
@ATTRIBUTE	word18	NUMERIC
@ATTRIBUTE	word19	NUMERIC
@ATTRIBUTE	word20	NUMERIC
@ATTRIBUTE	word21	NUMERIC
@ATTRIBUTE	word22	NUMERIC
@ATTRIBUTE	word23	NUMERIC
@ATTRIBUTE	word24	NUMERIC
@ATTRIBUTE	word25	NUMERIC
@ATTRIBUTE	word26	NUMERIC
@ATTRIBUTE	word27	NUMERIC
@ATTRIBUTE	word28	NUMERIC
@ATTRIBUTE	word29	NUMERIC
@ATTRIBUTE	word30	NUMERIC
@ATTRIBUTE	word31	NUMERIC
@ATTRIBUTE	word32	NUMERIC
@ATTRIBUTE	word33	NUMERIC
@ATTRIBUTE	word34	NUMERIC
@ATTRIBUTE	word35	NUMERIC
@ATTRIBUTE	word36	NUMERIC
@ATTRIBUTE	word37	NUMERIC
@ATTRIBUTE	word38	NUMERIC
@ATTRIBUTE	word39	NUMERIC
@ATTRIBUTE	word40	NUMERIC
@ATTRIBUTE	word41	NUMERIC
@ATTRIBUTE	word42	NUMERIC
@ATTRIBUTE	word43	NUMERIC
@ATTRIBUTE	word44	NUMERIC
@ATTRIBUTE	word45	NUMERIC
@ATTRIBUTE	word46	NUMERIC
@ATTRIBUTE	word47	NUMERIC
@ATTRIBUTE	word48	NUMERIC
@ATTRIBUTE	word49	NUMERIC
@ATTRIBUTE	word50	NUMERIC
@ATTRIBUTE	word51	NUMERIC
@ATTRIBUTE	word52	NUMERIC
@ATTRIBUTE	word53	NUMERIC
@ATTRIBUTE	word54	NUMERIC
@ATTRIBUTE	word55	NUMERIC
@ATTRIBUTE	word56	NUMERIC
@ATTRIBUTE	word57	NUMERIC
@ATTRIBUTE	word58	NUMERIC
@ATTRIBUTE	word59	NUMERIC
@ATTRIBUTE	word60	NUMERIC
@ATTRIBUTE	word61	NUMERIC
@ATTRIBUTE	word62	NUMERIC
@ATTRIBUTE	word63	NUMERIC
@ATTRIBUTE	word64	NUMERIC
@ATTRIBUTE	word65	NUMERIC
@ATTRIBUTE	word66	NUMERIC
@ATTRIBUTE	word67	NUMERIC
@ATTRIBUTE	word68	NUMERIC
@ATTRIBUTE	word69	NUMERIC
@ATTRIBUTE	word70	NUMERIC
@ATTRIBUTE	word71	NUMERIC
@ATTRIBUTE	word72	NUMERIC
@ATTRIBUTE	word73	NUMERIC
@ATTRIBUTE	word74	NUMERIC
@ATTRIBUTE	word75	NUMERIC
@ATTRIBUTE	word76	NUMERIC
@ATTRIBUTE	word77	NUMERIC
@ATTRIBUTE	word78	NUMERIC
@ATTRIBUTE	word79	NUMERIC
@ATTRIBUTE	word80	NUMERIC
@ATTRIBUTE	word81	NUMERIC
@ATTRIBUTE	word82	NUMERIC
@ATTRIBUTE	word83	NUMERIC
@ATTRIBUTE	word84	NUMERIC
@ATTRIBUTE	word85	NUMERIC
@ATTRIBUTE	word86	NUMERIC
@ATTRIBUTE	word87	NUMERIC
@ATTRIBUTE	word88	NUMERIC
@ATTRIBUTE	word89	NUMERIC
@ATTRIBUTE	word90	NUMERIC
@ATTRIBUTE	word91	NUMERIC
@ATTRIBUTE	word92	NUMERIC
@ATTRIBUTE	word93	NUMERIC
@ATTRIBUTE	word94	NUMERIC
@ATTRIBUTE	word95	NUMERIC
@ATTRIBUTE	word96	NUMERIC
@ATTRIBUTE	word97	NUMERIC
@ATTRIBUTE	word98	NUMERIC
@ATTRIBUTE	word99	NUMERIC
@ATTRIBUTE	word100	NUMERIC
@ATTRIBUTE	word101	NUMERIC
@ATTRIBUTE	word102	NUMERIC
@ATTRIBUTE	word103	NUMERIC
@ATTRIBUTE	word104	NUMERIC
@ATTRIBUTE	word105	NUMERIC
@ATTRIBUTE	word106	NUMERIC
@ATTRIBUTE	word107	NUMERIC
@ATTRIBUTE	word108	NUMERIC
@ATTRIBUTE	word109	NUMERIC
@ATTRIBUTE	word110	NUMERIC
@ATTRIBUTE	word111	NUMERIC
@ATTRIBUTE	word112	NUMERIC
@ATTRIBUTE	word113	NUMERIC
@ATTRIBUTE	word114	NUMERIC
@ATTRIBUTE	word115	NUMERIC
@ATTRIBUTE	word116	NUMERIC
@ATTRIBUTE	word117	NUMERIC
@ATTRIBUTE	word118	NUMERIC
@ATTRIBUTE	word119	NUMERIC
@ATTRIBUTE	word120	NUMERIC
@ATTRIBUTE	word121	NUMERIC
@ATTRIBUTE	word122	NUMERIC
@ATTRIBUTE	word123	NUMERIC
@ATTRIBUTE	word124	NUMERIC
@ATTRIBUTE	word125	NUMERIC
@ATTRIBUTE	word126	NUMERIC
@ATTRIBUTE	word127	NUMERIC
@ATTRIBUTE	word128	NUMERIC
@ATTRIBUTE	word129	NUMERIC
@ATTRIBUTE	word130	NUMERIC
@ATTRIBUTE	word131	NUMERIC
@ATTRIBUTE	word132	NUMERIC
@ATTRIBUTE	word133	NUMERIC
@ATTRIBUTE	word134	NUMERIC
@ATTRIBUTE	word135	NUMERIC
@ATTRIBUTE	word136	NUMERIC
@ATTRIBUTE	word137	NUMERIC
@ATTRIBUTE	word138	NUMERIC
@ATTRIBUTE	word139	NUMERIC
@ATTRIBUTE	word140	NUMERIC
@ATTRIBUTE	word141	NUMERIC
@ATTRIBUTE	word142	NUMERIC
@ATTRIBUTE	word143	NUMERIC
@ATTRIBUTE	word144	NUMERIC
@ATTRIBUTE	word145	NUMERIC
@ATTRIBUTE	word146	NUMERIC
@ATTRIBUTE	word147	NUMERIC
@ATTRIBUTE	word148	NUMERIC
@ATTRIBUTE	word149	NUMERIC
@ATTRIBUTE	word150	NUMERIC
@ATTRIBUTE	word151	NUMERIC
@ATTRIBUTE	word152	NUMERIC
@ATTRIBUTE	word153	NUMERIC
@ATTRIBUTE	word154	NUMERIC
@ATTRIBUTE	word155	NUMERIC
@ATTRIBUTE	word156	NUMERIC
@ATTRIBUTE	word157	NUMERIC
@ATTRIBUTE	word158	NUMERIC
@ATTRIBUTE	word159	NUMERIC
@ATTRIBUTE	word160	NUMERIC
@ATTRIBUTE	word161	NUMERIC
@ATTRIBUTE	word162	NUMERIC
@ATTRIBUTE	word163	NUMERIC
@ATTRIBUTE	word164	NUMERIC
@ATTRIBUTE	word165	NUMERIC
@ATTRIBUTE	word166	NUMERIC
@ATTRIBUTE	word167	NUMERIC
@ATTRIBUTE	word168	NUMERIC
@ATTRIBUTE	word169	NUMERIC
@ATTRIBUTE	word170	NUMERIC
@ATTRIBUTE	word171	NUMERIC
@ATTRIBUTE	word172	NUMERIC
@ATTRIBUTE	word173	NUMERIC
@ATTRIBUTE	word174	NUMERIC
@ATTRIBUTE	word175	NUMERIC
@ATTRIBUTE	word176	NUMERIC
@ATTRIBUTE	word177	NUMERIC
@ATTRIBUTE	word178	NUMERIC
@ATTRIBUTE	word179	NUMERIC
@ATTRIBUTE	word180	NUMERIC
@ATTRIBUTE	word181	NUMERIC
@ATTRIBUTE	word182	NUMERIC
@ATTRIBUTE	word183	NUMERIC
@ATTRIBUTE	word184	NUMERIC
@ATTRIBUTE	word185	NUMERIC
@ATTRIBUTE	word186	NUMERIC
@ATTRIBUTE	word187	NUMERIC
@ATTRIBUTE	word188	NUMERIC
@ATTRIBUTE	word189	NUMERIC
@ATTRIBUTE	word190	NUMERIC
@ATTRIBUTE	word191	NUMERIC
@ATTRIBUTE	word192	NUMERIC
@ATTRIBUTE	word193	NUMERIC
@ATTRIBUTE	word194	NUMERIC
@ATTRIBUTE	word195	NUMERIC
@ATTRIBUTE	word196	NUMERIC
@ATTRIBUTE	word197	NUMERIC
@ATTRIBUTE	word198	NUMERIC
@ATTRIBUTE	word199	NUMERIC
@ATTRIBUTE	word200	NUMERIC
@ATTRIBUTE	word201	NUMERIC
@ATTRIBUTE	word202	NUMERIC
@ATTRIBUTE	word203	NUMERIC
@ATTRIBUTE	word204	NUMERIC
@ATTRIBUTE	word205	NUMERIC
@ATTRIBUTE	word206	NUMERIC
@ATTRIBUTE	word207	NUMERIC
@ATTRIBUTE	word208	NUMERIC
@ATTRIBUTE	word209	NUMERIC
@ATTRIBUTE	word210	NUMERIC
@ATTRIBUTE	word211	NUMERIC
@ATTRIBUTE	word212	NUMERIC
@ATTRIBUTE	word213	NUMERIC
@ATTRIBUTE	word214	NUMERIC
@ATTRIBUTE	word215	NUMERIC
@ATTRIBUTE	word216	NUMERIC
@ATTRIBUTE	word217	NUMERIC
@ATTRIBUTE	word218	NUMERIC
@ATTRIBUTE	word219	NUMERIC
@ATTRIBUTE	word220	NUMERIC
@ATTRIBUTE	word221	NUMERIC
@ATTRIBUTE	word222	NUMERIC
@ATTRIBUTE	word223	NUMERIC
@ATTRIBUTE	word224	NUMERIC
@ATTRIBUTE	word225	NUMERIC
@ATTRIBUTE	word226	NUMERIC
@ATTRIBUTE	word227	NUMERIC
@ATTRIBUTE	word228	NUMERIC
@ATTRIBUTE	word229	NUMERIC
@ATTRIBUTE	word230	NUMERIC
@ATTRIBUTE	word231	NUMERIC
@ATTRIBUTE	word232	NUMERIC
@ATTRIBUTE	word233	NUMERIC
@ATTRIBUTE	word234	NUMERIC
@ATTRIBUTE	word235	NUMERIC
@ATTRIBUTE	word236	NUMERIC
@ATTRIBUTE	word237	NUMERIC
@ATTRIBUTE	word238	NUMERIC
@ATTRIBUTE	word239	NUMERIC
@ATTRIBUTE	word240	NUMERIC
@ATTRIBUTE	word241	NUMERIC
@ATTRIBUTE	word242	NUMERIC
@ATTRIBUTE	word243	NUMERIC
@ATTRIBUTE	word244	NUMERIC
@ATTRIBUTE	word245	NUMERIC
@ATTRIBUTE	word246	NUMERIC
@ATTRIBUTE	word247	NUMERIC
@ATTRIBUTE	word248	NUMERIC
@ATTRIBUTE	word249	NUMERIC
@ATTRIBUTE	class	{strawberry,lobster,brain,platypus,Faces,nautilus,pigeon,grand_piano,chair,pizza}

@DATA
0,0.0204082,0.0102041,0,0,0.0102041,0,0,0.0102041,0,0,0,0.0204082,0.0102041,0.0102041,0,0,0,0,0,0,0,0,0,0.0102041,0,0.0102041,0.0102041,0,0.0204082,0.0102041,0.0102041,0.0102041,0,0,0,0.0102041,0.0102041,0,0,0,0,0,0.0204082,0,0,0,0,0.0102041,0.0102041,0.0204082,0,0.0204082,0,0,0,0,0,0.0102041,0,0,0,0,0,0,0.0306122,0,0,0,0.0102041,0.0102041,0.0102041,0,0.0102041,0,0,0,0,0,0,0,0,0,0.0306122,0.0204082,0,0,0,0,0,0,0.0102041,0.0102041,0,0.0408163,0,0.0102041,0,0,0,0,0,0.0102041,0,0.0204082,0.0102041,0,0,0.0102041,0,0,0,0,0.0306122,0,0.0102041,0,0,0.0102041,0,0.0102041,0,0.0204082,0,0,0,0.0204082,0,0,0.0102041,0,0.0102041,0.0102041,0,0,0,0,0,0,0.0306122,0,0,0,0,0,0,0,0,0.0102041,0,0,0,0,0.0102041,0,0,0,0,0,0.0102041,0.0204082,0,0,0,0,0,0.0102041,0,0,0,0,0.0102041,0,0,0,0,0,0,0.0102041,0,0,0,0,0,0,0,0.0102041,0,0.0102041,0,0.0102041,0.0102041,0.0102041,0,0.0102041,0,0.0102041,0,0,0,0,0,0,0,0,0.0204082,0,0,0,0,0,0,0.0102041,0,0,0,0.0102041,0,0,0.0102041,0,0,0.0510204,0.0204082,0,0,0.0102041,0,0,0,0.0102041,0,0,0,0,0,0,0,0,0.0102041,0,0,0,0,0,0,0,0,0,0,strawberry
0.0117188,0.015625,0,0.00390625,0.00390625,0,0.00390625,0,0.0117188,0.015625,0,0,0,0.0078125,0,0,0,0.00390625,0,0,0,0.0390625,0.00390625,0.00390625,0.00390625,0.00390625,0.00390625,0,0,0,0,0,0,0.00390625,0.00390625,0.00390625,0,0.0078125,0.00390625,0,0,0.0078125,0,0.00390625,0.015625,0.00390625,0,0,0,0,0,0,0,0,0,0.00390625,0.0078125,0,0,0,0.00390625,0.0078125,0,0,0.0390625,0,0,0.0078125,0.015625,0,0,0.00390625,0.0429688,0,0,0.00390625,0,0,0,0,0,0.00390625,0,0,0,0,0,0.015625,0.03125,0.0078125,0,0,0,0,0,0,0.0078125,0,0.00390625,0,0,0,0,0,0,0,0,0.0078125,0,0,0,0,0.0078125,0,0,0.00390625,0.00390625,0,0,0.015625,0.0117188,0,0.00390625,0,0,0,0.0195312,0.0195312,0.0117188,0,0.0117188,0.0078125,0.0078125,0.00390625,0.00390625,0.00390625,0,0,0,0,0,0.0078125,0,0.0117188,0,0.0078125,0,0,0,0.015625,0,0,0,0.0117188,0,0,0,0.00390625,0,0.0429688,0,0,0,0.0078125,0.0117188,0.00390625,0,0,0.0078125,0,0.0078125,0,0.0273438,0.00390625,0.0078125,0,0.015625,0.0195312,0.0117188,0,0,0.00390625,0.015625,0.00390625,0,0,0,0.0117188,0,0,0,0.0351562,0,0,0,0.0078125,0,0.00390625,0.00390625,0,0,0.00390625,0,0,0,0,0,0.0078125,0,0,0.0117188,0,0,0,0,0.00390625,0,0,0,0.0234375,0,0,0,0,0,0,0,0.00390625,0,0,0.00390625,0,0,0,0.0117188,0.0117188,0,0,0,0.0078125,0.015625,0.0117188,0.0078125,0.0078125,0,0,0.0078125,0,0,0.00390625,strawberry
0,0.00353982,0,0,0,0.00176991,0.00530973,0.0814159,0,0,0.00707965,0,0.00176991,0,0,0.00176991,0,0.0159292,0.00707965,0,0.00176991,0.0141593,0.0176991,0,0.00353982,0.0141593,0.0123894,0,0,0.00176991,0.00176991,0,0.0159292,0,0.00176991,0,0,0.00884956,0.00176991,0.00530973,0,0.00176991,0,0.00176991,0.00353982,0,0.00176991,0.00176991,0.00176991,0.00176991,0.0141593,0.00176991,0,0.00353982,0.00176991,0,0,0.00176991,0.00353982,0,0,0.00353982,0,0,0,0,0,0.00530973,0.0106195,0.00353982,0,0,0.0159292,0,0.00530973,0.00176991,0,0,0.0106195,0.00884956,0,0.00530973,0,0,0,0.00884956,0,0,0.00884956,0.00884956,0,0.00176991,0,0.00530973,0,0,0,0.00176991,0,0,0,0.00530973,0.00176991,0.00176991,0,0.00353982,0,0.00176991,0,0,0.0212389,0,0.00530973,0.0176991,0.00176991,0.00353982,0.00530973,0.00176991,0.00176991,0,0,0.00176991,0.00707965,0,0,0,0,0,0.00353982,0.00176991,0.019469,0.00530973,0,0.00353982,0.00530973,0.00353982,0,0.00176991,0,0.00176991,0.00353982,0.00353982,0,0.0106195,0.0336283,0.00353982,0,0,0,0,0.00530973,0.00176991,0,0.00353982,0,0,0,0,0,0.0176991,0,0,0.00176991,0,0.00176991,0,0,0,0.0778761,0,0.00176991,0,0.0141593,0.00353982,0,0.00530973,0.0123894,0,0.0106195,0.00176991,0,0.0230088,0.0230088,0,0.00707965,0,0,0.00530973,0,0.00176991,0,0.00353982,0.00530973,0,0,0.00353982,0,0,0,0,0.00353982,0.00176991,0,0.00176991,0,0.00176991,0,0.00353982,0,0.0106195,0.00707965,0,0,0,0.00176991,0,0,0.0920354,0,0,0,0.00884956,0,0,0,0,0.00707965,0.00884956,0.00530973,0.00176991,0,0,0.00176991,0.0141593,0.00353982,0,0,0,0.00530973,0.00176991,0,0.00176991,0.00530973,0.00530973,0.00884956,0,0,0.00884956,0,0,strawberry
0.0025974,0.00779221,0.0025974,0.025974,0,0.00779221,0.0103896,0.0181818,0.00779221,0.0025974,0.0181818,0.0103896,0,0.00519481,0.00779221,0,0.0025974,0.0155844,0.0025974,0.0025974,0,0.0025974,0.0181818,0.0025974,0.0181818,0.00519481,0,0.0025974,0.0025974,0.0103896,0,0,0,0.00779221,0.0025974,0.0025974,0.0025974,0,0,0,0,0.00779221,0,0.0103896,0.00519481,0,0,0,0,0,0.0181818,0,0,0.0025974,0,0,0.00779221,0.0103896,0,0,0.00519481,0.012987,0.0025974,0.0025974,0.0025974,0,0,0.0025974,0.0025974,0,0.0155844,0.0025974,0.0181818,0,0.0025974,0,0,0,0.00779221,0.00519481,0.0025974,0.0025974,0,0,0.0025974,0,0,0,0.00779221,0,0,0,0,0,0.0181818,0,0,0.00519481,0,0.00519481,0,0.00779221,0,0.0025974,0.00519481,0.00779221,0,0,0,0.0025974,0,0.0025974,0.012987,0,0,0.00779221,0.0285714,0.0207792,0.0025974,0,0.0025974,0.0025974,0.0025974,0,0,0.00779221,0.0155844,0.0025974,0.0155844,0,0,0.012987,0.00519481,0,0,0.0363636,0.0025974,0.0285714,0,0.0025974,0.00779221,0.0103896,0.00779221,0.00519481,0.00519481,0,0,0.0025974,0,0,0.0181818,0,0,0.00519481,0.0025974,0,0.0025974,0,0,0.0025974,0,0,0,0.00519481,0.00519481,0.0025974,0,0,0,0.00519481,0.0025974,0.0025974,0.00779221,0.012987,0.0025974,0.00519481,0,0.0025974,0.00519481,0.0025974,0.0025974,0.0025974,0.0025974,0.0025974,0.012987,0,0.0025974,0.00519481,0.0025974,0,0,0,0.00779221,0.0025974,0,0.0025974,0.0025974,0,0.0025974,0,0,0.00519481,0,0,0,0.0025974,0,0.0025974,0,0,0.00779221,0,0.00519481,0,0.012987,0.00779221,0.0025974,0.0337662,0,0.0025974,0.0025974,0.0025974,0.0025974,0.0025974,0,0.0025974,0.00519481,0,0.0025974,0.0025974,0.0025974,0.00519481,0,0,0.00779221,0.00519481,0.0025974,0,0,0.00519481,0,0.00779221,0,0.00779221,0,0.0025974,0,0.00519481,0,0,strawberry
0,0,0.004,0.14,0,0.012,0.028,0.124,0.024,0,0.004,0.004,0.004,0.008,0,0,0.004,0,0,0,0,0.024,0.008,0,0.012,0,0,0,0,0.012,0.004,0,0,0,0,0,0,0,0,0,0,0.004,0,0.004,0,0,0,0,0,0,0.004,0.012,0.004,0.044,0,0.004,0.004,0.004,0,0,0,0,0,0.004,0,0.008,0,0,0,0,0.012,0.004,0.02,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0.004,0.004,0,0,0,0,0,0.004,0.004,0,0,0.016,0,0,0,0.004,0,0.004,0,0.004,0,0,0,0,0.016,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0.016,0.012,0.004,0,0,0,0,0.024,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0.008,0,0,0,0.056,0,0,0.008,0,0.012,0.004,0.008,0,0,0,0.016,0.004,0.016,0.004,0.004,0.004,0,0,0,0,0,0,0.004,0,0.008,0,0.008,0.008,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0.004,0,0.004,0,0,0.016,0,0,0.008,0,0,0.024,0,0,0,0.004,0,0,0,0,0,0.004,0.008,0,0,0,0,0.004,0,0.016,0.008,0,0.008,0,0,0,0.004,0,strawberry
0,0.0130719,0,0.0392157,0,0,0.0261438,0.130719,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00653595,0,0,0,0.00653595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00653595,0,0,0,0,0,0.00653595,0,0,0.0196078,0,0,0,0,0.00653595,0,0.0130719,0.0457516,0,0,0.00653595,0,0,0.00653595,0.00653595,0,0,0.00653595,0,0.00653595,0,0,0,0,0.00653595,0.00653595,0,0,0,0,0,0.0588235,0,0,0,0,0,0,0,0,0,0,0,0,0.0849673,0,0.00653595,0,0.0196078,0,0.00653595,0,0,0,0.00653595,0,0,0.00653595,0.0130719,0,0,0,0,0,0,0,0.00653595,0.00653595,0,0,0,0.00653595,0,0,0,0,0,0,0,0,0,0.00653595,0,0,0,0,0.117647,0,0,0,0,0.0392157,0,0,0,0,0,0,0,0.00653595,0,0.00653595,0,0,0,0.0130719,0,0,0.00653595,0.00653595,0.00653595,0,0.00653595,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00653595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00653595,0,0,0,0,0,0,0,0,0,0.00653595,0,0,0,0,0.0196078,0.00653595,0,0,0,0,0.00653595,0,strawberry
0.00643777,0.00858369,0,0.00858369,0,0,0.00214592,0,0,0.00214592,0.00429185,0.00214592,0.00429185,0,0.00214592,0,0.00214592,0,0.00429185,0,0.00429185,0.0622318,0,0.00643777,0,0.00214592,0.00858369,0.00214592,0,0,0.00214592,0,0.00858369,0.00643777,0,0.00429185,0,0.00429185,0,0.00214592,0,0.00858369,0,0.00858369,0.0128755,0.00429185,0.00429185,0.00214592,0,0,0,0.00643777,0,0.0107296,0.00643777,0.00643777,0.00214592,0.00214592,0,0.00214592,0,0,0,0,0.0257511,0,0,0.00429185,0.0128755,0,0,0.00214592,0.0193133,0,0.0107296,0.0171674,0.0343348,0,0,0,0,0.0107296,0,0.027897,0.00429185,0.00214592,0,0,0.00643777,0.0150215,0,0,0,0,0,0,0,0,0.00214592,0,0,0.00214592,0.00214592,0,0.00429185,0.00214592,0.00858369,0.00429185,0.00214592,0,0,0,0.00643777,0,0,0.0150215,0.027897,0,0,0.0107296,0,0,0.00214592,0,0,0,0.0686695,0,0.0128755,0.00214592,0.00643777,0,0,0,0.00214592,0,0,0.00429185,0,0,0,0,0,0.0257511,0.00858369,0.00214592,0,0,0.00214592,0.00214592,0.00643777,0.00429185,0.00858369,0.00214592,0,0.00858369,0.00214592,0.00429185,0.00214592,0.00858369,0,0,0,0.00643777,0.00214592,0.00643777,0.00214592,0.00214592,0.00214592,0,0,0,0.00643777,0.00214592,0,0,0.0128755,0.00643777,0.0107296,0,0,0,0.00643777,0,0.00643777,0,0.00214592,0.00643777,0.00429185,0,0.00214592,0.00429185,0,0,0,0.00643777,0.00214592,0,0.00214592,0,0,0.0171674,0.00643777,0.00214592,0.00214592,0,0.00643777,0,0.0128755,0,0.00214592,0.00214592,0,0,0,0.00214592,0,0.00429185,0.027897,0.00429185,0,0.0107296,0,0,0,0,0,0.00429185,0,0,0,0,0.00429185,0.00214592,0.00429185,0,0,0.00858369,0,0.00643777,0,0.0150215,0.0171674,0.0128755,0,0,0.0128755,0,0,0.00214592,strawberry
0,0,0.0138889,0.0555556,0,0,0.0277778,0.0787037,0,0,0,0,0,0.00462963,0.00462963,0,0,0.00925926,0,0,0,0.0416667,0,0,0.0185185,0,0,0.0185185,0.00462963,0.00925926,0,0,0,0,0,0,0.00462963,0.00462963,0,0.00462963,0,0,0,0,0,0,0,0,0,0,0.0277778,0.00925926,0.00462963,0,0,0.0277778,0,0,0.0138889,0,0,0,0,0,0,0.0185185,0,0,0.0138889,0.00925926,0.0138889,0,0,0.00462963,0.00462963,0,0.00462963,0,0,0.0185185,0,0.00462963,0.00462963,0.00462963,0,0,0,0,0,0.00462963,0,0.00925926,0,0,0.00462963,0.00462963,0,0,0,0,0,0.00925926,0,0,0.00925926,0,0,0,0,0.00462963,0.00462963,0,0,0.0231481,0,0,0,0,0,0,0,0.00462963,0.00925926,0,0,0,0.0185185,0.0185185,0,0.00462963,0,0.00462963,0,0.00462963,0,0,0.0231481,0,0.0138889,0.0277778,0,0,0,0.00462963,0,0.0138889,0,0,0,0,0.00462963,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00925926,0,0,0,0,0,0.0138889,0,0,0.0231481,0,0,0,0,0,0.00925926,0,0,0.0185185,0,0,0,0,0,0.00925926,0.00462963,0,0.00462963,0.0185185,0.00462963,0.00925926,0,0,0,0,0.0185185,0,0,0,0,0,0,0,0,0,0.0185185,0,0,0.00462963,0,0.00462963,0,0,0.00462963,0.00925926,0,0,0,0.0185185,0.00925926,0.0138889,0,0.0138889,0,0,0,0.00925926,0,0,0,0,0,0,0,0,0,0,0.0138889,0.00925926,0.00925926,0.00462963,0,0,0,0,0,strawberry
0,0.00655738,0.00327869,0,0.00655738,0.00983607,0,0,0,0.00655738,0,0,0.00655738,0,0,0,0,0,0.00655738,0.00655738,0,0,0.00983607,0.00327869,0,0,0.00327869,0,0,0,0,0.00983607,0,0,0,0.0196721,0,0.0196721,0.00327869,0.00327869,0,0.0163934,0,0,0.0295082,0,0,0,0,0,0,0.0163934,0,0.00327869,0,0,0.0163934,0,0,0,0.00327869,0.00655738,0.00327869,0,0,0.00327869,0.00327869,0.00983607,0.0163934,0,0.00327869,0.00327869,0.0557377,0,0,0.00983607,0,0.00327869,0,0,0.0163934,0.00655738,0.00327869,0,0,0.00327869,0,0.00327869,0.00655738,0,0.00655738,0,0.00655738,0,0,0.0131148,0.00327869,0,0.00655738,0.00327869,0,0,0.00327869,0,0,0.00655738,0,0,0.00655738,0.00655738,0,0,0.0196721,0,0.00327869,0.0131148,0.00327869,0,0,0.0163934,0,0,0,0.0131148,0,0,0,0,0,0.00983607,0.00655738,0.00655738,0.0131148,0,0,0,0,0,0,0.00327869,0,0.0131148,0.00655738,0.0557377,0,0,0,0,0.00983607,0.00327869,0,0.00327869,0.00327869,0.0131148,0.00655738,0,0.0131148,0.00655738,0.0131148,0.0163934,0,0,0,0.00327869,0,0.00655738,0.00983607,0.00327869,0.00655738,0.00983607,0.00327869,0,0.00983607,0,0,0,0.00983607,0.00327869,0.0163934,0,0,0,0,0,0,0.00983607,0,0,0,0,0,0.0163934,0,0,0,0.0163934,0,0,0.0131148,0.00655738,0,0.00327869,0.00327869,0,0,0.0163934,0.00327869,0,0,0,0.00983607,0,0,0.00327869,0,0.00327869,0,0.00655738,0,0.00327869,0.00327869,0.00327869,0.00327869,0,0,0.0196721,0.00327869,0.00655738,0,0,0,0.00983607,0,0.00655738,0.00327869,0,0,0,0,0.0163934,0.0131148,0,0.00327869,0,0,0,0.00983607,0,0,0,strawberry
0,0.002,0,0.06,0.004,0,0.012,0.116,0,0,0.01,0,0,0,0,0,0,0,0.004,0,0,0.198,0,0.002,0.01,0.002,0.008,0.002,0.016,0.016,0,0,0.01,0,0,0.002,0.002,0.006,0,0.002,0,0.006,0,0,0.004,0.008,0,0,0,0,0.002,0.008,0,0.002,0,0,0,0.002,0,0,0,0,0,0,0.002,0.002,0,0.002,0.016,0,0,0,0.014,0,0.002,0.006,0,0,0,0,0.004,0.004,0,0,0,0.002,0,0,0.002,0.004,0,0,0,0,0.004,0,0,0,0,0.002,0,0.04,0.002,0.002,0.004,0.002,0,0.002,0,0,0,0,0.002,0.044,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0.058,0,0,0,0.01,0,0,0,0.002,0,0.006,0.004,0,0.006,0.002,0.004,0,0,0,0.008,0.008,0.002,0,0,0,0,0,0.002,0.002,0,0.004,0.006,0,0.002,0,0,0,0,0.006,0,0,0,0.004,0,0,0.008,0,0,0.004,0,0,0.012,0.002,0,0,0,0,0.018,0,0,0,0.002,0,0.004,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0.002,0,0,0,0,0.024,0,0.002,0,0,0.002,0,0,0,0.002,0,0.004,0,0,0,0,0.002,0.002,0,0.002,0.002,0,0.002,0,0,0.002,0,0.006,0.05,0.004,0.002,0,0,0.008,0,0.002,strawberry
