@RELATION caltech101

@ATTRIBUTE	word0	NUMERIC
@ATTRIBUTE	word1	NUMERIC
@ATTRIBUTE	word2	NUMERIC
@ATTRIBUTE	word3	NUMERIC
@ATTRIBUTE	word4	NUMERIC
@ATTRIBUTE	word5	NUMERIC
@ATTRIBUTE	word6	NUMERIC
@ATTRIBUTE	word7	NUMERIC
@ATTRIBUTE	word8	NUMERIC
@ATTRIBUTE	word9	NUMERIC
@ATTRIBUTE	word10	NUMERIC
@ATTRIBUTE	word11	NUMERIC
@ATTRIBUTE	word12	NUMERIC
@ATTRIBUTE	word13	NUMERIC
@ATTRIBUTE	word14	NUMERIC
@ATTRIBUTE	word15	NUMERIC
@ATTRIBUTE	word16	NUMERIC
@ATTRIBUTE	word17	NUMERIC
@ATTRIBUTE	word18	NUMERIC
@ATTRIBUTE	word19	NUMERIC
@ATTRIBUTE	word20	NUMERIC
@ATTRIBUTE	word21	NUMERIC
@ATTRIBUTE	word22	NUMERIC
@ATTRIBUTE	word23	NUMERIC
@ATTRIBUTE	word24	NUMERIC
@ATTRIBUTE	word25	NUMERIC
@ATTRIBUTE	word26	NUMERIC
@ATTRIBUTE	word27	NUMERIC
@ATTRIBUTE	word28	NUMERIC
@ATTRIBUTE	word29	NUMERIC
@ATTRIBUTE	word30	NUMERIC
@ATTRIBUTE	word31	NUMERIC
@ATTRIBUTE	word32	NUMERIC
@ATTRIBUTE	word33	NUMERIC
@ATTRIBUTE	word34	NUMERIC
@ATTRIBUTE	word35	NUMERIC
@ATTRIBUTE	word36	NUMERIC
@ATTRIBUTE	word37	NUMERIC
@ATTRIBUTE	word38	NUMERIC
@ATTRIBUTE	word39	NUMERIC
@ATTRIBUTE	word40	NUMERIC
@ATTRIBUTE	word41	NUMERIC
@ATTRIBUTE	word42	NUMERIC
@ATTRIBUTE	word43	NUMERIC
@ATTRIBUTE	word44	NUMERIC
@ATTRIBUTE	word45	NUMERIC
@ATTRIBUTE	word46	NUMERIC
@ATTRIBUTE	word47	NUMERIC
@ATTRIBUTE	word48	NUMERIC
@ATTRIBUTE	word49	NUMERIC
@ATTRIBUTE	class	{strawberry,lobster,brain,platypus,Faces,nautilus,pigeon,grand_piano,chair,pizza}

@DATA
0.0510204,0.0204082,0.0102041,0,0.0306122,0.0306122,0.0102041,0.0204082,0.0204082,0.0408163,0.0102041,0,0,0.0204082,0.0204082,0.0306122,0.0204082,0.0306122,0.0102041,0.0612245,0.0204082,0.0102041,0.0306122,0.0102041,0,0.0102041,0.0510204,0.0102041,0.0816327,0,0,0.0102041,0.0510204,0.0102041,0.0612245,0.0306122,0,0.0102041,0.0204082,0,0,0.0204082,0.0102041,0.0204082,0.0102041,0.0306122,0.0102041,0,0,0.0408163,strawberry
0,0.0390625,0.0546875,0,0.0390625,0.0351562,0,0.0273438,0,0.0195312,0.0351562,0.00390625,0,0,0.0585938,0.00390625,0.0703125,0,0.0507812,0.0078125,0.0078125,0.00390625,0,0.015625,0.00390625,0,0,0.015625,0.0078125,0,0.0507812,0,0.0078125,0.0585938,0.00390625,0.00390625,0.0546875,0.0976562,0.0703125,0.046875,0.015625,0.015625,0.0078125,0,0.00390625,0,0.0078125,0.00390625,0.03125,0.0195312,strawberry
0.0106195,0.00530973,0.0336283,0.00884956,0.0141593,0.0230088,0.0318584,0.0176991,0.00353982,0.00884956,0.00530973,0.0265487,0.00707965,0.00176991,0.00530973,0.0849558,0.0176991,0.0141593,0.0318584,0.00707965,0.0265487,0,0.0123894,0.0336283,0.0230088,0.0265487,0.00884956,0.00530973,0.0513274,0.0265487,0.0106195,0.0141593,0,0.0212389,0.00176991,0.00353982,0.134513,0.0371681,0,0.0159292,0.00176991,0.019469,0.100885,0,0,0.00707965,0.00176991,0.0123894,0.0300885,0.0141593,strawberry
0.00519481,0.0207792,0.00779221,0.0181818,0.0337662,0.00519481,0.0545455,0.00779221,0.0103896,0.0207792,0.0207792,0.0441558,0.00779221,0.0025974,0.0181818,0.0467532,0.0311688,0.0025974,0.0363636,0.0155844,0.0545455,0.0103896,0.00519481,0.0519481,0.025974,0.00519481,0.00519481,0.0155844,0.0467532,0.0545455,0.0545455,0.0025974,0.0103896,0.025974,0.025974,0,0.025974,0.0311688,0.00519481,0.0181818,0.0025974,0.012987,0.0155844,0.0103896,0.00519481,0.00519481,0.00519481,0.0103896,0.0285714,0.0181818,strawberry
0,0.012,0.008,0.02,0.04,0.016,0.008,0.008,0.02,0.016,0,0.02,0,0,0.012,0.196,0.008,0.02,0,0.012,0.128,0.012,0,0.004,0,0,0.004,0.004,0.036,0.012,0.028,0.008,0.008,0.012,0,0.008,0.148,0.012,0.02,0,0.004,0,0.048,0.008,0.012,0.004,0.004,0.012,0.04,0.008,strawberry
0,0.0130719,0,0,0,0.0457516,0.00653595,0.0196078,0.00653595,0.0130719,0,0,0,0.00653595,0.00653595,0.215686,0.0522876,0.0457516,0,0,0.0457516,0.00653595,0,0.00653595,0,0,0.0130719,0,0.0196078,0,0,0,0,0.00653595,0.00653595,0.00653595,0.24183,0.0392157,0.0130719,0,0,0,0.0653595,0,0.0130719,0,0,0.0522876,0.0326797,0,strawberry
0,0.0171674,0.0429185,0.0128755,0.0150215,0.0343348,0.027897,0.0193133,0.0107296,0.00858369,0.00214592,0.027897,0.0257511,0,0.0257511,0.0450644,0.0622318,0.0193133,0.00858369,0.00429185,0.0150215,0,0.00214592,0.0128755,0.00214592,0.00214592,0,0.0128755,0.00429185,0.0107296,0.0300429,0.0343348,0.00214592,0.0343348,0.00429185,0.0536481,0.0815451,0.0665236,0.118026,0.0257511,0.00214592,0.00643777,0.00214592,0.00214592,0.0107296,0,0.00429185,0.0107296,0.0300429,0.00858369,strawberry
0.0324074,0.00462963,0.0185185,0.0138889,0.0324074,0.0231481,0.00462963,0,0.0231481,0,0,0.00462963,0,0.0138889,0.00925926,0.143519,0.00462963,0,0,0.00925926,0.0833333,0.00925926,0.0185185,0,0,0.0555556,0.0462963,0.0185185,0.0509259,0,0,0.0138889,0.0416667,0,0.0509259,0,0.125,0.00462963,0.0277778,0,0.0138889,0,0.00462963,0.00925926,0,0.037037,0,0.00462963,0.0462963,0,strawberry
0.0196721,0.0262295,0.0655738,0,0,0.00983607,0.0131148,0.0229508,0.0327869,0.0163934,0.0393443,0.00327869,0,0.00655738,0.0229508,0,0.0721311,0.0196721,0.0459016,0.00655738,0,0.0131148,0,0.00655738,0,0,0.052459,0,0.00327869,0.00655738,0.0885246,0.00983607,0.00983607,0.0688525,0,0.0229508,0,0.118033,0.00327869,0.0295082,0.00327869,0.0327869,0.00327869,0.0163934,0.00983607,0,0.0131148,0.0163934,0.0131148,0.0360656,strawberry
0.002,0.008,0.074,0.024,0.016,0.042,0.01,0.002,0.006,0,0.006,0.004,0,0,0.002,0.13,0.046,0.01,0.006,0.024,0.024,0.002,0.01,0.006,0,0.002,0.008,0.016,0.028,0.018,0.006,0.002,0.002,0.018,0.006,0,0.294,0.05,0,0.016,0,0.014,0.022,0,0,0,0.008,0.012,0.022,0.002,strawberry
