@RELATION caltech101

@ATTRIBUTE	quantCol0	NUMERIC
@ATTRIBUTE	quantCol1	NUMERIC
@ATTRIBUTE	quantCol2	NUMERIC
@ATTRIBUTE	quantCol3	NUMERIC
@ATTRIBUTE	quantCol4	NUMERIC
@ATTRIBUTE	quantCol5	NUMERIC
@ATTRIBUTE	quantCol6	NUMERIC
@ATTRIBUTE	quantCol7	NUMERIC
@ATTRIBUTE	quantCol8	NUMERIC
@ATTRIBUTE	quantCol9	NUMERIC
@ATTRIBUTE	quantCol10	NUMERIC
@ATTRIBUTE	quantCol11	NUMERIC
@ATTRIBUTE	quantCol12	NUMERIC
@ATTRIBUTE	quantCol13	NUMERIC
@ATTRIBUTE	quantCol14	NUMERIC
@ATTRIBUTE	quantCol15	NUMERIC
@ATTRIBUTE	quantCol16	NUMERIC
@ATTRIBUTE	quantCol17	NUMERIC
@ATTRIBUTE	quantCol18	NUMERIC
@ATTRIBUTE	quantCol19	NUMERIC
@ATTRIBUTE	quantCol20	NUMERIC
@ATTRIBUTE	quantCol21	NUMERIC
@ATTRIBUTE	quantCol22	NUMERIC
@ATTRIBUTE	quantCol23	NUMERIC
@ATTRIBUTE	quantCol24	NUMERIC
@ATTRIBUTE	quantCol25	NUMERIC
@ATTRIBUTE	quantCol26	NUMERIC
@ATTRIBUTE	quantCol27	NUMERIC
@ATTRIBUTE	quantCol28	NUMERIC
@ATTRIBUTE	quantCol29	NUMERIC
@ATTRIBUTE	quantCol30	NUMERIC
@ATTRIBUTE	quantCol31	NUMERIC
@ATTRIBUTE	quantCol32	NUMERIC
@ATTRIBUTE	quantCol33	NUMERIC
@ATTRIBUTE	quantCol34	NUMERIC
@ATTRIBUTE	quantCol35	NUMERIC
@ATTRIBUTE	quantCol36	NUMERIC
@ATTRIBUTE	quantCol37	NUMERIC
@ATTRIBUTE	quantCol38	NUMERIC
@ATTRIBUTE	quantCol39	NUMERIC
@ATTRIBUTE	quantCol40	NUMERIC
@ATTRIBUTE	quantCol41	NUMERIC
@ATTRIBUTE	quantCol42	NUMERIC
@ATTRIBUTE	quantCol43	NUMERIC
@ATTRIBUTE	quantCol44	NUMERIC
@ATTRIBUTE	quantCol45	NUMERIC
@ATTRIBUTE	quantCol46	NUMERIC
@ATTRIBUTE	quantCol47	NUMERIC
@ATTRIBUTE	quantCol48	NUMERIC
@ATTRIBUTE	quantCol49	NUMERIC
@ATTRIBUTE	quantCol50	NUMERIC
@ATTRIBUTE	quantCol51	NUMERIC
@ATTRIBUTE	quantCol52	NUMERIC
@ATTRIBUTE	quantCol53	NUMERIC
@ATTRIBUTE	quantCol54	NUMERIC
@ATTRIBUTE	quantCol55	NUMERIC
@ATTRIBUTE	quantCol56	NUMERIC
@ATTRIBUTE	quantCol57	NUMERIC
@ATTRIBUTE	quantCol58	NUMERIC
@ATTRIBUTE	quantCol59	NUMERIC
@ATTRIBUTE	quantCol60	NUMERIC
@ATTRIBUTE	quantCol61	NUMERIC
@ATTRIBUTE	quantCol62	NUMERIC
@ATTRIBUTE	quantCol63	NUMERIC
@ATTRIBUTE	class	{binocular,lobster,starfish,scorpion,wild_cat,sea_horse,nautilus,grand_piano,stop_sign,stapler,tick,cougar_body,inline_skate,strawberry,headphone,emu,ewer,ceiling_fan,watch,camera,schooner,helicopter,cellphone,cup,buddha,barrel,windsor_chair,dolphin,rhino,brontosaurus,chair,stegosaurus,Leopards,panda,revolver,water_lilly,okapi,menorah,anchor,metronome,euphonium,bonsai,bass,elephant,cannon,kangaroo,mayfly,joshua_tree,crayfish,pyramid,car_side,wheelchair,dalmatian,rooster,dollar_bill,airplanes,flamingo_head,crab,lamp,gramophone,snoopy,hedgehog,mandolin,soccer_ball,laptop,beaver,garfield,ibis,flamingo,platypus,scissors,minaret,yin_yang,crocodile_head,Faces,hawksbill,Motorbikes,accordion,sunflower,pagoda,ferry,dragonfly,trilobite,octopus,crocodile,brain,Faces_easy,electric_guitar,gerenuk,saxophone,ant,umbrella,butterfly,ketch,wrench,chandelier,cougar_face,pigeon,pizza,llama,lotus}

@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29,21,5,10,0,0,0,6,0,0,0,0,0,0,0,33,82,49,36,59,35,0,0,59,33,31,10,3,10,5,3,255,255,255,218,163,158,140,214,binocular
22,74,0,0,53,0,0,0,3,30,18,89,0,7,0,22,21,118,0,0,0,0,0,0,18,23,53,88,0,9,52,55,60,59,83,96,0,0,0,0,49,46,37,87,27,32,45,89,67,61,72,96,20,15,18,46,255,255,255,255,251,228,214,255,binocular
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,5,0,2,0,0,202,247,221,158,0,0,0,0,0,5,8,74,0,3,3,35,91,102,101,159,13,13,10,63,8,18,16,7,15,38,90,194,binocular
0,0,0,0,42,32,0,0,0,0,0,0,0,0,0,0,53,5,50,2,0,0,0,0,0,0,0,5,0,0,0,0,29,31,26,25,0,0,0,0,45,46,46,103,0,0,0,29,58,22,14,48,126,88,57,72,93,64,56,41,50,49,53,255,binocular
0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,10,11,22,5,3,4,0,0,0,0,0,0,0,0,8,9,5,3,255,105,40,32,9,0,0,8,10,19,6,0,143,102,32,18,201,255,167,86,65,71,80,189,binocular
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,28,24,28,0,3,0,0,33,72,8,9,78,142,73,79,157,230,255,235,163,158,191,255,binocular
0,0,0,0,12,0,0,7,35,48,0,0,0,0,0,0,17,94,0,3,0,0,46,94,66,51,51,32,0,0,0,0,92,233,179,77,132,140,147,62,95,12,19,34,5,0,0,19,123,123,89,72,161,100,96,60,122,17,17,11,6,7,53,39,binocular
72,0,0,0,0,0,0,0,128,113,0,18,0,0,0,0,0,0,0,0,0,0,0,0,188,205,143,193,0,0,0,0,0,0,0,0,23,3,0,0,171,166,85,153,5,3,3,38,17,3,0,19,138,88,2,12,3,150,48,5,23,23,13,137,binocular
173,130,0,0,0,0,0,0,255,101,193,43,0,0,0,0,0,0,0,0,0,0,0,0,224,131,81,51,0,0,0,0,0,0,0,0,169,13,3,0,42,0,0,0,0,0,0,0,3,0,0,0,68,0,0,0,3,0,0,0,0,0,0,0,binocular
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,17,0,0,0,0,0,39,78,28,3,0,0,34,0,184,201,250,255,243,206,176,245,binocular
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,83,121,83,23,0,0,0,0,0,0,8,28,0,0,5,17,143,189,148,124,3,5,0,0,59,25,39,32,34,52,71,255,binocular
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,255,206,104,55,42,6,0,0,0,0,0,0,0,0,18,115,73,144,250,255,214,136,169,binocular
0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,175,59,0,0,0,0,0,0,0,0,0,0,13,10,26,71,132,162,151,177,0,0,0,0,13,0,0,50,47,38,35,103,89,69,70,140,10,0,0,4,118,60,46,36,29,42,52,179,binocular
0,0,0,0,0,0,0,0,0,162,0,5,0,0,0,0,0,0,0,0,0,0,0,0,112,119,151,111,0,0,0,0,0,0,0,0,14,29,80,49,149,132,113,37,31,0,0,0,105,76,0,0,130,159,145,38,255,179,142,128,53,9,15,16,binocular
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,31,15,0,0,0,0,33,73,12,1,0,0,0,0,27,64,87,60,27,31,31,8,115,126,92,102,13,63,85,73,92,131,146,255,255,255,255,240,binocular
